x,y,dx,dy
0,0,0,1
0,1,1,-1
1,0,0,1
1,1,0,1
1,2,0,1
1,3,0,1
1,4,0,1
1,5,0,1
1,6,0,1
1,7,0,1
1,8,0,1
1,9,0,1
1,10,0,1
1,11,0,1
1,12,0,1
1,13,0,1
1,14,0,1
1,15,0,1
1,16,0,1
1,17,0,1
1,18,0,1
1,19,0,1
1,20,0,1
1,21,0,1
1,22,0,1
1,23,0,1
1,24,0,1
1,25,0,1
1,26,0,1
1,27,0,1
1,28,0,1
1,29,0,1
1,30,0,1
1,31,0,1
1,32,0,1
1,33,0,1
1,34,0,1
1,35,0,1
1,36,0,1
1,37,0,1
1,38,0,1
1,39,0,1
1,40,0,1
1,41,0,1
1,42,0,1
1,43,0,1
1,44,0,1
1,45,0,1
1,46,0,1
1,47,0,1
1,48,0,1
1,49,0,1
1,50,0,1
1,51,0,1
1,52,0,1
1,53,0,1
1,54,0,1
1,55,0,1
1,56,0,1
1,57,0,1
1,58,0,1
1,59,0,1
1,60,0,1
1,61,0,1
1,62,0,1
1,63,0,1
1,64,-1,1
0,65,0,1
0,66,0,1
0,67,0,1
0,68,0,1
0,69,0,1
0,70,0,1
0,71,0,1
0,72,0,1
0,73,0,1
0,74,0,1
0,75,0,1
0,76,0,1
0,77,0,1
0,78,0,1
0,79,0,1
0,80,0,1
0,81,0,1
0,82,0,1
0,83,0,1
0,84,0,1
0,85,0,1
0,86,1,0
1,86,0,-1
1,85,0,-1
1,84,0,-1
1,83,0,-1
1,82,0,-1
1,81,0,-1
1,80,0,-1
1,79,0,-1
1,78,0,-1
1,77,0,-1
1,76,0,-1
1,75,0,-1
1,74,0,-1
1,73,0,-1
1,72,0,-1
1,71,0,-1
1,70,0,-1
1,69,0,-1
1,68,0,-1
1,67,0,-1
1,66,0,-1
1,65,1,0
2,65,0,-1
2,64,0,-1
2,63,0,-1
2,62,0,-1
2,61,0,-1
2,60,0,-1
2,59,0,-1
2,58,0,-1
2,57,0,-1
2,56,0,-1
2,55,0,-1
2,54,0,-1
2,53,0,-1
2,52,0,-1
2,51,0,-1
2,50,1,0
3,50,1,0
4,50,1,0
5,50,1,0
6,50,1,0
7,50,1,0
8,50,1,0
9,50,1,0
10,50,0,-1
10,49,-1,0
9,49,-1,0
8,49,-1,0
7,49,-1,0
6,49,-1,0
5,49,-1,0
4,49,-1,0
3,49,-1,0
2,49,0,-1
2,48,1,0
3,48,1,0
4,48,1,0
5,48,1,0
6,48,1,0
7,48,1,0
8,48,1,0
9,48,1,0
10,48,1,0
11,48,1,0
12,48,1,0
13,48,1,0
14,48,1,0
15,48,1,0
16,48,1,0
17,48,1,0
18,48,1,0
19,48,1,0
20,48,1,0
21,48,0,1
21,49,-1,0
20,49,-1,0
19,49,-1,0
18,49,-1,0
17,49,0,1
17,50,1,0
18,50,1,0
19,50,1,0
20,50,1,0
21,50,0,1
21,51,-1,0
20,51,-1,0
19,51,-1,0
18,51,-1,0
17,51,-1,0
16,51,-1,0
15,51,0,1
15,52,-1,1
14,53,-1,0
13,53,0,-1
13,52,1,0
14,52,0,-1
14,51,-1,0
13,51,0,-1
13,50,1,0
14,50,1,0
15,50,1,0
16,50,0,-1
16,49,-1,0
15,49,-1,0
14,49,-1,0
13,49,-1,0
12,49,-1,0
11,49,0,1
11,50,1,0
12,50,0,1
12,51,-1,0
11,51,1,1
12,52,0,1
12,53,0,1
12,54,0,1
12,55,1,0
13,55,0,-1
13,54,1,0
14,54,1,-1
15,53,1,-1
16,52,1,0
17,52,-1,1
16,53,1,0
17,53,1,0
18,53,0,-1
18,52,1,0
19,52,0,1
19,53,0,1
19,54,-1,0
18,54,-1,0
17,54,-1,0
16,54,0,1
16,55,1,0
17,55,0,1
17,56,0,1
17,57,1,0
18,57,0,-1
18,56,0,-1
18,55,1,0
19,55,0,1
19,56,1,0
20,56,1,0
21,56,-1,1
20,57,-1,0
19,57,0,1
19,58,-1,1
18,59,0,-1
18,58,-1,0
17,58,-1,0
16,58,0,1
16,59,1,0
17,59,0,1
17,60,-1,0
16,60,-1,0
15,60,0,-1
15,59,0,-1
15,58,0,-1
15,57,1,0
16,57,0,-1
16,56,-1,0
15,56,0,-1
15,55,0,-1
15,54,-1,1
14,55,0,1
14,56,0,1
14,57,0,1
14,58,0,1
14,59,0,1
14,60,0,1
14,61,0,1
14,62,1,0
15,62,0,-1
15,61,1,0
16,61,0,1
16,62,0,1
16,63,-1,1
15,64,0,-1
15,63,-1,0
14,63,-1,0
13,63,0,-1
13,62,-1,0
12,62,-1,0
11,62,0,-1
11,61,0,-1
11,60,0,-1
11,59,0,-1
11,58,1,0
12,58,0,1
12,59,0,1
12,60,0,1
12,61,1,0
13,61,0,-1
13,60,0,-1
13,59,0,-1
13,58,0,-1
13,57,0,-1
13,56,-1,0
12,56,0,1
12,57,-1,0
11,57,0,-1
11,56,0,-1
11,55,0,-1
11,54,0,-1
11,53,0,-1
11,52,-1,-1
10,51,-1,0
9,51,-1,0
8,51,-1,1
7,52,-1,1
6,53,1,0
7,53,-1,1
6,54,0,1
6,55,0,1
6,56,0,1
6,57,0,1
6,58,0,1
6,59,0,1
6,60,0,1
6,61,0,1
6,62,0,1
6,63,0,1
6,64,0,1
6,65,0,1
6,66,0,1
6,67,0,1
6,68,0,1
6,69,0,1
6,70,0,1
6,71,0,1
6,72,0,1
6,73,0,1
6,74,0,1
6,75,0,1
6,76,0,1
6,77,0,1
6,78,-1,0
5,78,0,-1
5,77,0,-1
5,76,0,-1
5,75,0,-1
5,74,0,-1
5,73,0,-1
5,72,0,-1
5,71,0,-1
5,70,0,-1
5,69,0,-1
5,68,0,-1
5,67,0,-1
5,66,0,-1
5,65,0,-1
5,64,-1,0
4,64,0,-1
4,63,1,0
5,63,0,-1
5,62,0,-1
5,61,0,-1
5,60,0,-1
5,59,0,-1
5,58,0,-1
5,57,0,-1
5,56,0,-1
5,55,0,-1
5,54,0,-1
5,53,1,-1
6,52,1,-1
7,51,-1,0
6,51,-1,0
5,51,0,1
5,52,-1,0
4,52,0,-1
4,51,-1,0
3,51,0,1
3,52,0,1
3,53,1,0
4,53,0,1
4,54,-1,0
3,54,0,1
3,55,1,0
4,55,0,1
4,56,-1,0
3,56,0,1
3,57,1,0
4,57,0,1
4,58,-1,0
3,58,0,1
3,59,1,0
4,59,0,1
4,60,-1,0
3,60,0,1
3,61,1,0
4,61,0,1
4,62,-1,0
3,62,0,1
3,63,0,1
3,64,0,1
3,65,1,0
4,65,0,1
4,66,0,1
4,67,0,1
4,68,0,1
4,69,0,1
4,70,0,1
4,71,0,1
4,72,0,1
4,73,0,1
4,74,0,1
4,75,0,1
4,76,0,1
4,77,0,1
4,78,0,1
4,79,0,1
4,80,0,1
4,81,0,1
4,82,0,1
4,83,0,1
4,84,1,0
5,84,0,-1
5,83,0,-1
5,82,0,-1
5,81,0,-1
5,80,0,-1
5,79,1,0
6,79,0,1
6,80,0,1
6,81,0,1
6,82,0,1
6,83,0,1
6,84,0,1
6,85,-1,0
5,85,-1,0
4,85,-1,0
3,85,0,-1
3,84,0,-1
3,83,0,-1
3,82,0,-1
3,81,0,-1
3,80,0,-1
3,79,0,-1
3,78,0,-1
3,77,0,-1
3,76,0,-1
3,75,0,-1
3,74,0,-1
3,73,0,-1
3,72,0,-1
3,71,0,-1
3,70,0,-1
3,69,0,-1
3,68,0,-1
3,67,0,-1
3,66,-1,0
2,66,0,1
2,67,0,1
2,68,0,1
2,69,0,1
2,70,0,1
2,71,0,1
2,72,0,1
2,73,0,1
2,74,0,1
2,75,0,1
2,76,0,1
2,77,0,1
2,78,0,1
2,79,0,1
2,80,0,1
2,81,0,1
2,82,0,1
2,83,0,1
2,84,0,1
2,85,0,1
2,86,1,0
3,86,1,0
4,86,1,0
5,86,1,0
6,86,1,0
7,86,0,-1
7,85,0,-1
7,84,0,-1
7,83,0,-1
7,82,0,-1
7,81,0,-1
7,80,0,-1
7,79,0,-1
7,78,0,-1
7,77,0,-1
7,76,0,-1
7,75,0,-1
7,74,0,-1
7,73,0,-1
7,72,0,-1
7,71,0,-1
7,70,0,-1
7,69,0,-1
7,68,0,-1
7,67,0,-1
7,66,0,-1
7,65,0,-1
7,64,0,-1
7,63,0,-1
7,62,0,-1
7,61,0,-1
7,60,0,-1
7,59,0,-1
7,58,0,-1
7,57,0,-1
7,56,0,-1
7,55,0,-1
7,54,1,0
8,54,0,-1
8,53,1,0
9,53,0,-1
9,52,-1,0
8,52,2,0
10,52,0,1
10,53,0,1
10,54,0,1
10,55,0,1
10,56,0,1
10,57,0,1
10,58,0,1
10,59,0,1
10,60,0,1
10,61,0,1
10,62,0,1
10,63,-1,0
9,63,0,-1
9,62,0,-1
9,61,0,-1
9,60,0,-1
9,59,0,-1
9,58,0,-1
9,57,0,-1
9,56,0,-1
9,55,0,-1
9,54,-1,1
8,55,0,1
8,56,0,1
8,57,0,1
8,58,0,1
8,59,0,1
8,60,0,1
8,61,0,1
8,62,0,1
8,63,0,1
8,64,0,1
8,65,0,1
8,66,0,1
8,67,0,1
8,68,0,1
8,69,0,1
8,70,0,1
8,71,0,1
8,72,0,1
8,73,0,1
8,74,0,1
8,75,0,1
8,76,0,1
8,77,0,1
8,78,0,1
8,79,0,1
8,80,0,1
8,81,0,1
8,82,0,1
8,83,0,1
8,84,0,1
8,85,0,1
8,86,1,0
9,86,1,0
10,86,1,0
11,86,1,0
12,86,1,0
13,86,0,1
13,87,0,1
13,88,0,1
13,89,0,1
13,90,0,1
13,91,0,1
13,92,0,1
13,93,0,1
13,94,0,1
13,95,0,1
13,96,0,1
13,97,0,1
13,98,0,1
13,99,0,1
13,100,0,1
13,101,0,1
13,102,-1,0
12,102,-1,0
11,102,-1,0
10,102,-1,0
9,102,-1,0
8,102,-1,0
7,102,-1,0
6,102,-1,0
5,102,0,1
5,103,1,0
6,103,1,0
7,103,1,0
8,103,1,0
9,103,1,0
10,103,1,0
11,103,1,0
12,103,1,0
13,103,0,1
13,104,-1,0
12,104,-1,0
11,104,-1,0
10,104,-1,0
9,104,-1,0
8,104,-1,0
7,104,-1,0
6,104,-1,0
5,104,-1,0
4,104,-1,0
3,104,0,-1
3,103,1,0
4,103,0,-1
4,102,-1,0
3,102,1,-1
4,101,-1,0
3,101,0,-1
3,100,1,0
4,100,0,-1
4,99,-1,0
3,99,0,-1
3,98,0,-1
3,97,0,-1
3,96,0,-1
3,95,0,-1
3,94,0,-1
3,93,0,-1
3,92,1,0
4,92,0,1
4,93,0,1
4,94,0,1
4,95,0,1
4,96,0,1
4,97,0,1
4,98,1,0
5,98,0,1
5,99,0,1
5,100,0,1
5,101,1,0
6,101,1,0
7,101,1,0
8,101,1,0
9,101,1,0
10,101,1,0
11,101,1,0
12,101,0,-1
12,100,-1,0
11,100,-1,0
10,100,-1,0
9,100,-1,0
8,100,-1,0
7,100,-1,0
6,100,0,-1
6,99,0,-1
6,98,1,0
7,98,0,1
7,99,1,0
8,99,0,-1
8,98,0,-1
8,97,0,-1
8,96,0,-1
8,95,-1,0
7,95,0,-1
7,94,1,0
8,94,0,-1
8,93,-1,0
7,93,0,-1
7,92,1,0
8,92,1,0
9,92,0,1
9,93,0,1
9,94,0,1
9,95,0,1
9,96,0,1
9,97,1,0
10,97,1,0
11,97,0,1
11,98,-1,0
10,98,-1,0
9,98,0,1
9,99,1,0
10,99,1,0
11,99,1,0
12,99,0,-1
12,98,0,-1
12,97,0,-1
12,96,0,-1
12,95,0,-1
12,94,0,-1
12,93,0,-1
12,92,0,-1
12,91,0,-1
12,90,0,-1
12,89,0,-1
12,88,0,-1
12,87,-1,0
11,87,0,1
11,88,0,1
11,89,-1,0
10,89,0,-1
10,88,0,-1
10,87,-1,0
9,87,-1,0
8,87,-1,0
7,87,-1,0
6,87,-1,0
5,87,-1,0
4,87,-1,0
3,87,-1,0
2,87,-1,0
1,87,-1,0
0,87,0,1
0,88,1,0
1,88,1,0
2,88,1,0
3,88,1,0
4,88,1,0
5,88,1,0
6,88,1,0
7,88,1,0
8,88,1,0
9,88,0,1
9,89,-1,0
8,89,-1,0
7,89,-1,0
6,89,-1,0
5,89,-1,0
4,89,-1,0
3,89,-1,0
2,89,-1,0
1,89,-1,0
0,89,0,1
0,90,1,0
1,90,1,0
2,90,1,0
3,90,1,0
4,90,1,0
5,90,1,0
6,90,1,0
7,90,1,0
8,90,1,0
9,90,1,0
10,90,1,0
11,90,0,1
11,91,0,1
11,92,0,1
11,93,0,1
11,94,0,1
11,95,0,1
11,96,-1,0
10,96,0,-1
10,95,0,-1
10,94,0,-1
10,93,0,-1
10,92,0,-1
10,91,-1,0
9,91,-1,0
8,91,-1,0
7,91,-1,0
6,91,0,1
6,92,0,1
6,93,0,1
6,94,0,1
6,95,0,1
6,96,1,0
7,96,0,1
7,97,-1,0
6,97,-1,0
5,97,0,-1
5,96,0,-1
5,95,0,-1
5,94,0,-1
5,93,0,-1
5,92,0,-1
5,91,-1,0
4,91,-1,0
3,91,-1,0
2,91,-1,0
1,91,-1,0
0,91,0,1
0,92,0,1
0,93,1,0
1,93,0,-1
1,92,1,0
2,92,0,1
2,93,0,1
2,94,0,1
2,95,-1,0
1,95,0,-1
1,94,-1,0
0,94,0,1
0,95,0,1
